,text,intent
5911,find plitt theatres now showing poverty and nobility,SearchScreeningEvent
3279,what will it be like in six pm at the current place,GetWeather
10146,rate the which moped with chrome-plated handlebars at the back of the yard saga a one,RateBook
89,add this song to my playlist named wild country,AddToPlaylist
7146,find movie schedule in pacific theatres,SearchScreeningEvent
4643,get me a picture about sardonic wrath,SearchCreativeWork
3061,i want to read mad money,SearchCreativeWork
12356,for the book the sting of the scorpion i give three of a possiable 6 rating,RateBook
4609,can you search miracle in the rain,SearchCreativeWork
9715,find a novel called best hits live: save the children speed live 2003,SearchCreativeWork
13334,how is the weather right now at my current place,GetWeather
4446,where is the beach of lost children playing,SearchScreeningEvent
7999,can you get me a reservation at wwe the world around av u,BookRestaurant
11669,i give why orwell matters a rating value of 2 and a best rating of 6,RateBook
5298,i want to give this novel a four out of 6 stars,RateBook
1753,play my éxitos españa playlist,PlayMusic
13895,book the best table in tanzania for 5 people at a diner,BookRestaurant
6030,i would give this novel four stars,RateBook
4047,what cinema is the closest showing movies,SearchScreeningEvent
10516,what is the weather like in texas,GetWeather
8512,is cloudy in lyncourt,GetWeather
6722,i want to hear gothic rock on lastfm,PlayMusic
5311,which films are playing at consolidated theatres,SearchScreeningEvent
10496,add a song to in residence metal hammer episode 6,AddToPlaylist
12566,i want to eat at a indoor bar for two,BookRestaurant
3805,i m looking for the last track by fei yu ching from the fourties,PlayMusic
3703,can you please get me come away with me show,SearchCreativeWork
4486,give 4 out of 6 points to this book,RateBook
3267,rate the type one super robot five of 6 stars,RateBook
4674,i want to add black ribbons to the i love my neo soul playlist,AddToPlaylist
2583,put the love hurts track onto carmen s playlist,AddToPlaylist
7486,i rate 4 of 6 points for this textbook,RateBook
11373,will there be any snowfall in american samoa,GetWeather
13137,book a bakery for lebanese on january 11th  2032,BookRestaurant
14056,what is the forecast for costa rica,GetWeather
8923,add tune to african heat,AddToPlaylist
4320,please give me the forecast for branton,GetWeather
5161,add another tune to my songs for you  not your parents playlist,AddToPlaylist
10674,book any popular puglia serving oyster bar for 10 in jemez springs,BookRestaurant
4883,add artist to laundry,AddToPlaylist
12116,what is the weather supposed to be like at sunset in cosby  kansas,GetWeather
11127,can you make reservations at a restaurant that serves mashed pumpkin for six pm,BookRestaurant
9177,add the album to my latin pop rising playlist,AddToPlaylist
4442,give zero / 6 stars to this album,RateBook
8364,what is the forecast for lesotho for starting this fall,GetWeather
5433,i d rate the current chronicle 2 points,RateBook
8829,lets go far to the wolseley in maine,BookRestaurant
13281,i want a table for me and my kids in turkey at a neighboring restaurant,BookRestaurant
3028,i would give this current novel one stars,RateBook
5835,find a game called a very special christmas 7,SearchCreativeWork
6379,find half a sixpence photograph,SearchCreativeWork
11950,add new metal tracks in my tune,AddToPlaylist
7519,book a spot for 6 at a tea house in tokelau,BookRestaurant
12202,i want to book a delicatessen serving testaroli in somalia for 7/25/2027,BookRestaurant
4343,i want to book meriton grand hotel tallinn in new jersey for four people,BookRestaurant
1739,what is the 00:00 pm forecast for blizzard conditions in cameroon,GetWeather
345,can i get the movie schedules for loews cineplex,SearchScreeningEvent
8551,rate the current textbook 4 out of 6 points,RateBook
1838,movie schedules for animated movies playing in the neighbourhood,SearchScreeningEvent
6175,incorporate nao kawakita into the epic classical playlist,AddToPlaylist
14141,i want to hear them from the artist murcof,PlayMusic
1574,show movie times of movies in the neighbourhood,SearchScreeningEvent
13791,to the travelling playlist  please add this david gahan song,AddToPlaylist
10054,rate my current novel one stars,RateBook
716,i want to listen to speed metal symphony,PlayMusic
11440,give 0 out of 6 points to this album,RateBook
12386,find to each his own cinema  an album,SearchCreativeWork
12574,what time is a battle of wits starting,SearchScreeningEvent
6892,will it be colder in winnebago,GetWeather
13286,i want to see the television show called cuts both ways,SearchCreativeWork
7550,find a tv show called the fighting men,SearchCreativeWork
11778,add sunday express live to workout playlist,AddToPlaylist
14199,give this album 5 points,RateBook
3121,where can i get a photograph of death knows your name,SearchCreativeWork
6296,add however much i booze to my playlist called atmospheric black metal,AddToPlaylist
13987,is there a storm now in nc,GetWeather
2267,add this artist to disco fever playlist,AddToPlaylist
2693,where can i find the novel a woman in the web,SearchCreativeWork
8762,i want to book a restaurant near wyoming for 5 people,BookRestaurant
405,search for the song called journal of the american statistical association,SearchCreativeWork
154,i want to listen to swing music on iheart,PlayMusic
4493,what s the closest cinema playing six days: three activists  three wars  one dream at sunrise,SearchScreeningEvent
11195,big breasts and wide hips is terrible and 1 out of 6,RateBook
2669,anything close to smith-9th st that can seat two people about one minute from now,BookRestaurant
2284,put jim fairchild onto spotlight spain 2016,AddToPlaylist
3549,what are the movie schedules at loews cineplex entertainment,SearchScreeningEvent
2218,find animated movies in the area,SearchScreeningEvent
11275,rate the poems for midnight saga 4 points,RateBook
12272,play a concerto from the nineties,PlayMusic
6570,is it forecast to be stormy close to nimule-nationalpark 1 hour from now,GetWeather
8102,add this song to cleaning,AddToPlaylist
2741,book a ukraine pub serves mineiro,BookRestaurant
12928,show me the sex therapy painting,SearchCreativeWork
9775,add artist john william boone to my life s short play fast playlist,AddToPlaylist
3305,add harry chapin in stress relief playlist,AddToPlaylist
12685,play some 2011 music by dan healy,PlayMusic
8153,play me track september  gouden roos by artist daedelus,PlayMusic
2849,play some 1970 antero manninen on zvooq,PlayMusic
10642,looking for liberalism and the limits of justice,SearchCreativeWork
174,what are the movie schedules,SearchScreeningEvent
1523,give a kentucky cardinal four points,RateBook
14266,give 0 rating to in the heart of the country,RateBook
10334,please get me exploring the reef tv show,SearchCreativeWork
1099,play print the legend soundtrack,SearchCreativeWork
1831,play some music on vimeo,PlayMusic
5398,play 1988 chant music on itunes,PlayMusic
4087,what s the weather far from jarbidge,GetWeather
13875,add a song to my playlist madden nfl 16,AddToPlaylist
8870,what weather is predicted for loyalhanna,GetWeather
8042,book a restaurant for marcella  erma and leanne rivera,BookRestaurant
1631,where can i watch the tv series polite people,SearchCreativeWork
13944,book a table on 1/20/2023 for 5 people in mh,BookRestaurant
9113,find a book called the echo chamber,SearchCreativeWork
12953,can you play me some britpop music,PlayMusic
1962,find me a game called spaceball,SearchCreativeWork
11361,play music from the artist joe sample,PlayMusic
12393,what is the tv show journal of personality and social psychology,SearchCreativeWork
9758,what time is the bride wore boots playing,SearchScreeningEvent
10572,add this artist to my classic punk playlist,AddToPlaylist
3487,show me the tv series called take me to your heaven,SearchCreativeWork
1593,what s the weather next week in somis,GetWeather
12495,show the forecast nearby in twenty two minutes in french polynesia,GetWeather
4629,i want to book a restaurant for ten this summer,BookRestaurant
1660,play some twenties music on iheart,PlayMusic
12392,give me the showtimes for sign of the anchor,SearchScreeningEvent
14479,is any cinema playing the spirit of youth,SearchScreeningEvent
13656,what is the weather in south bradenton,GetWeather
8801,i d like to listen to iheart radio s chill out playlist please,PlayMusic
12586,show me the schedule of movie michel strogoff,SearchScreeningEvent
14222,rate the current novel 3 stars,RateBook
12952,what s the weather in ecola state park in three minutes,GetWeather
14405,show me the schedule for the oblong box,SearchScreeningEvent
5772,tell me what films are around here,SearchScreeningEvent
758,show me the out with my baby photograph,SearchCreativeWork
4981,can you find the show the dumping ground survival files,SearchCreativeWork
5743,i d like to see the trailer for history and theory,SearchCreativeWork
4262,find the schedule for films in the neighborhood,SearchScreeningEvent
8843,i want to find the show from where to eternity,SearchCreativeWork
10379,what time is achilles and the tortoise showing,SearchScreeningEvent
13,can you play me some eighties music by adele,PlayMusic
12590,reserve in bermuda a food court near jan and i,BookRestaurant
631,give the current album a four,RateBook
10611,rate timeline of science fiction 4 out of 6,RateBook
13621,do you have something like impossible is nothing by abderrahmane abdelli,PlayMusic
4726,show weather forcast for t h  stone memorial st  joseph peninsula state park on one hour from now,GetWeather
13418,book me a restaurant please,BookRestaurant
9499,book a restaurant faraway from rwanda for two,BookRestaurant
13618,will there be a snowstorm in taberville,GetWeather
13832,add kent james to the disney soundtrack,AddToPlaylist
10025,what time does lilacs in the spring play at the closest movie house,SearchScreeningEvent
5025,plays some akb48 on youtube,PlayMusic
14306,please look up the song the mad magician,SearchCreativeWork
13268,can you find me the naked city – justice with a bullet album,SearchCreativeWork
388,what movies are playing at southern theatres,SearchScreeningEvent
11121,i want to hear vegetables by pharrell williams,PlayMusic
6671,weather for six am in sc,GetWeather
13845,add highway patrolman in my playlist this is al green,AddToPlaylist
614,is it going to be chilly at nine am in doolittle,GetWeather
754,what time will in the name of the son be playing,SearchScreeningEvent
12749,put ik tara onto pure seduction playlist,AddToPlaylist
11785,play a keith richards album,PlayMusic
4432,add zamiast burzy to phunkadelic,AddToPlaylist
7561,find the photograph the air is on fire: soundscape,SearchCreativeWork
5731,add beverley knight to my mellow beats playlist,AddToPlaylist
8372,what will it be like feb  the twentieth in colorado,GetWeather
10318,play something by holly cole on lastfm,PlayMusic
6970,rate decoding reality 0 points,RateBook
2720,will it be hot near calakmul biosphere reserve 3 seconds from now,GetWeather
12796,rate this essay with three of 6,RateBook
9518,try to find the picture advances in ecological research,SearchCreativeWork
632,play jeff pilson on youtube,PlayMusic
11308,check the weather forecast in seven weeks for emida,GetWeather
5948,add all together now to my playlist the road to punk rock,AddToPlaylist
3654,what is the movie schedule at loews cineplex entertainment,SearchScreeningEvent
7656,look for the trailer of guitar heaven: santana performs the greatest guitar classics of all time,SearchCreativeWork
10261,i want to give the current textbook 2 out of 6,RateBook
5388,need to find the tv series called administrative behavior,SearchCreativeWork
12630,is it hot in round hill hi,GetWeather
4796,rate the saga in mortal hands five out of 6 stars,RateBook
7229,add d roc the executioner to my this is zezé di camargo & luciano playlist,AddToPlaylist
130,find a television show called merced sun-star,SearchCreativeWork
4196,add ilse delange to my journey playlist,AddToPlaylist
10117,tell me the weather forecast for roseburg  iowa,GetWeather
1848,i want to see the maximum trance picture,SearchCreativeWork
6005,add glory in the highest a christmas record in my playlist cleaning,AddToPlaylist
6111,i d like to watch movies close by,SearchScreeningEvent
10893,i want to find a book called cash-cash,SearchCreativeWork
1556,add another tune to my soft rock  playlist,AddToPlaylist
12467,what s the weather at my current location,GetWeather
12640,how temperate will it be here this week,GetWeather
12018,book a spot for connie  earline and rose at an oyster bar that serves chicken fried bacon in beauregard delaware,BookRestaurant
5595,give four out of 6 points to current album,RateBook
3326,what are the weather conditions in noel,GetWeather
11046,add this album to my blues playlist,AddToPlaylist
11366,play suus to my the funny thing about football is playlist,AddToPlaylist
13336,tell me the weather forecast close by brown county state park for meal time,GetWeather
8131,what is the weather starting at 11:47:52 for south africa,GetWeather
4360,rate this book 3 out of 6 points,RateBook
13805,add andy hunter to my evening commute playlist,AddToPlaylist
4544,give the current chronicle 2 stars,RateBook
11108,play to be still,PlayMusic
1309,add this artist named cleopatra stratan to my playlist named 30 before 20 masterworks by teenagers,AddToPlaylist
4030,please find the infrared riding hood tv show,SearchCreativeWork
12603,add the artist borys ljatoschynskyj to my under the surface playlist,AddToPlaylist
2155,add this track by flesh n bone to cherry s spa treatment playlist,AddToPlaylist
14434,i need a list of speakeasy theaters movie times,SearchScreeningEvent
6051,rate this book one stars,RateBook
6615,make me a reservation in nh for a party of two at a restaurant close by,BookRestaurant
8212,play a fairouz tune on deezer,PlayMusic
11839,i need a table for 1 at a highly rated restaurant next autumn in emmons  ri,BookRestaurant
13157,show the movie schedule of animated movies close by,SearchScreeningEvent
7964,i want to see the novel  the green,SearchCreativeWork
10610,book a spot distant from the neighborhood on the week-end,BookRestaurant
14285,please look up the tv show  vanity,SearchCreativeWork
3988,rate lord of the world a value of 4,RateBook
11851,will there be snowfall in pacific beach suriname,GetWeather
72,rate the current essay 2 out of 6,RateBook
10579,is it chilly anywhere faraway from my current place,GetWeather
12798,put on vimeo and play kacapi suling,PlayMusic
14071,will custer national forest be chillier at seven pm,GetWeather
6435,add a track in nike running tempo mix,AddToPlaylist
12281,add the track to the metal talks metallica playlist,AddToPlaylist
12540,add stephanie biddle to my digster reggae playlist,AddToPlaylist
3381,is proudly she marches playing anywhere,SearchScreeningEvent
6166,find the movie schedule for the cineplex odeon corporation,SearchScreeningEvent
2577,lets take me  cherry and tracie to a noyack bar,BookRestaurant
3677,show tv series schedule of gears of war,SearchCreativeWork
7359,book in rocky mound for four 1 hour from now,BookRestaurant
14018,weather in kaneville maryland,GetWeather
14091,play my inventive playlist,PlayMusic
9457,show me the only the strong survive photograph,SearchCreativeWork
11859,add eef barzelay to my country coffeehouse,AddToPlaylist
1570,what is the weather forecast in saint vincent and the grenadines,GetWeather
10626,show more questions than answers trailer,SearchCreativeWork
4004,can you add a tune to my jazzy romance playlist,AddToPlaylist
13687,for the current saga i rate 2 of 6 stars,RateBook
2885,add another song to the acoustic soul playlist,AddToPlaylist
8521,weather for coaldale arkansas,GetWeather
1898,will the weather be stormy on january the 15th  2026 in the federated states of micronesia,GetWeather
9743,will it be snowy in parnell,GetWeather
14357,find four songs,SearchCreativeWork
4131,book a spot for six friends,BookRestaurant
8483,i would give half a life 3 out of 6,RateBook
13669,rate this series 2 out of 6,RateBook
11587,book itsu for tonight,BookRestaurant
626,add nana tanimura  to a sudden rainstorm,AddToPlaylist
11761,i want the show the sense apparatus,SearchCreativeWork
4505,incorporate ayumi hamasaki arena tour 2009 a next level into my música libre playlist,AddToPlaylist
11657,find a painting called mister whiskers: my favourite nursery rhymes,SearchCreativeWork
8517,book a restaurant for 2 in cross timbers  district of columbia,BookRestaurant
4714,this book gets out of a total of 6 stars only 1,RateBook
7148,put journey to love onto hip hop 2017 new school,AddToPlaylist
3778,add this song to the novedades pop playlist,AddToPlaylist
7413,rate seeing the big picture a zero out of 6 points,RateBook
9846,my jazz for loving couples needs more push the button,AddToPlaylist
859,how will the weather be in 11 years from now in the same area of florida,GetWeather
6475,please find the movie  a jingle with jillian,SearchCreativeWork
9593,give me the schedule for what a wonderful place at cinemark theatres,SearchScreeningEvent
721,rate the current essay zero points,RateBook
3840,show creativity cum on feel the noize the video game,SearchCreativeWork
2525,find the tv show starship titanic,SearchCreativeWork
240,play inventions for the new season,PlayMusic
9137,i d rate the chronicle called the art of loving 3 points out of 6,RateBook
1175,i m looking for a soundtrack titled bowie at the beeb,SearchCreativeWork
5577,whats the closest movie house showing home room,SearchScreeningEvent
1072,search for the un provinciale a new york tv show,SearchCreativeWork
6504,look up adobe brackets soundtrack,SearchCreativeWork
8654,add sammy hagar to ultra metal,AddToPlaylist
10900,what s the weather forecast for anniston,GetWeather
5710,please find me the youth against fascism television show,SearchCreativeWork
5263,add los hombres calientes volume 3 new congo square to my descanso infinito playlist,AddToPlaylist
12945,four points for this essay,RateBook
3463,book a table at an oyster bar that serves apple butter on jul  10th  2028,BookRestaurant
3111,give letty fox: her luck 4 out of 6 stars,RateBook
6647,can you play something off johan larsson s travelers and thieves,PlayMusic
7090,i need to reserve a table for my baby and i at a tibetan tavern,BookRestaurant
3595,play some p  j  proby,PlayMusic
1227,give 5 out of 6 stars to coming home,RateBook
13306,use netflix to play bizzy bone kiss me goodnight  sergeant major,PlayMusic
12354,need a table for a party of 3 in laos at a theme restaurant,BookRestaurant
354,is it forecast to be freezing in benedict,GetWeather
6184,reserve me seating midday at bear hotel,BookRestaurant
1915,give 1 star to this album,RateBook
6750,need table for two in pleasant city,BookRestaurant
14426,check the schedule for bow tie cinemas,SearchScreeningEvent
3029,find the closest cinema playing the st  francisville experiment,SearchScreeningEvent
5009,at 8 am i want to eat at the rosebud in the federated states of micronesia,BookRestaurant
11551,will it be freezing in poland on july 5  2032,GetWeather
1273,what will the weather be within the same area in minnesota on june 27th  2023,GetWeather
12616,add mayya to the de manhattan con amor playlist,AddToPlaylist
8388,show creative work or miami vice theme,SearchCreativeWork
5089,play a track from the thirties,PlayMusic
11742,restaurant in kuwait for seven  mar  eighteenth  2030,BookRestaurant
5405,when is janeane from des moines playing at the nearest movie theatre,SearchScreeningEvent
5173,will the weather be temperate in betances,GetWeather
7370,add this tune by rafet el roman to my latin pop rising playlist,AddToPlaylist
13433,i m hoping you can find a photograph from live at the isle of wight 1970,SearchCreativeWork
9057,look up the show cissy houston,SearchCreativeWork
5048,what will the weather be doing at midnight in brazil,GetWeather
2297,book a table for 6 at a top-rated restaurant in north amityville ma that serves south tyrolean food,BookRestaurant
1492,i want to listen to some music from 2003 on pandora from them,PlayMusic
2446,add the song to the pure seduction playlists,AddToPlaylist
3338,united states has warm weather on next wed,GetWeather
9511,play some noise music on netflix,PlayMusic
11001,is there a depression going on in uganda,GetWeather
11897,add the proof album to cierra la puerta playlist,AddToPlaylist
8319,rate this textbook 4 out of 6 stars,RateBook
3377,1 point for this next textbook,RateBook
9326,add the track by apostolos nikolaidis to the this is luis fonsi playlist,AddToPlaylist
627,what s the closest movie house showing night in may,SearchScreeningEvent
10115,where can i watch hank williams: the show he never gave,SearchScreeningEvent
6605,play me a mario vazquez movement,PlayMusic
5608,show me the album andrews university seminary studies,SearchCreativeWork
1812,play something from 1981,PlayMusic
10277,play songs by gamble rogers,PlayMusic
9456,find an album called preminchi choodu,SearchCreativeWork
12781,i want to play the video game the coyote kings of the space-age bachelor pad,SearchCreativeWork
12732,i need to add to the all things post starting with my favorites from the silence,AddToPlaylist
6038,i want to see the television show the muppet christmas carol,SearchCreativeWork
11610,i d like to go to a pub that has italian dressing for a party of 5 on february 11  2033,BookRestaurant
10771,where can i see young goethe in love,SearchScreeningEvent
258,what s the forecast for alley  canada,GetWeather
9361,what time is unholy women playing,SearchScreeningEvent
8609,what is the six o clock forecast for west selmont  in montserrat,GetWeather
9816,add dark days in paradise to my gym playlist,AddToPlaylist
1293,add this tune by shagrath to black sabbath the ozzy years,AddToPlaylist
2656,i d like to eat in 1 minute at a neighboring neighborhood restaurant,BookRestaurant
7115,rate the current essay 5 of 6 points,RateBook
14069,what is the forecast for this afternoon for blizzard conditions in dieterich chad,GetWeather
507,play the lure of the mask song,SearchCreativeWork
13276,my rating for the eiffel tower and other mythologies is 0 out of 6 stars,RateBook
6181,give me a list of films at amc theatres,SearchScreeningEvent
1810,show me the television show operation thunderbolt,SearchCreativeWork
3981,i need a table for 3 in ak,BookRestaurant
10929,when can i see salaam-e-ishq: a tribute to love at b&b theatres,SearchScreeningEvent
2519,is the ghost breakers playing at plitt theatres in two hours,SearchScreeningEvent
2882,add jermaine fagan to spring music,AddToPlaylist
14151,play music by joy nilo,PlayMusic
13451,i want to give the chronicle zombie bums from uranus 3 points,RateBook
5874,open spotify and play a couple of celtic songs,PlayMusic
10055,add an album by m g sreekumar to my laidback acoustic playlist,AddToPlaylist
669,when is sunrise in american samoa,GetWeather
5699,rate this chronicle 3 stars,RateBook
7183,book childs restaurants in bruno for 1 person on october 6th  2019,BookRestaurant
3126,the enamorándose playlist needs another album,AddToPlaylist
6442,what will the weather be in mascoutah  tanzania at 09:04:38 am,GetWeather
11883,please find the album the party scene,SearchCreativeWork
5051,add chas chandler to my aux cord privileges,AddToPlaylist
3731,what s the weather forecast for aug  8  2020 at my current location,GetWeather
6681,one stars for the following album,RateBook
7668,what is the weather forecast for my current spot on jan  third  2036,GetWeather
7216,weather for cougar canyon wilderness,GetWeather
7,play a popular chant by brian epstein,PlayMusic
4707,programming the universe is average and deserves three stars out of 6,RateBook
9148,rate the current essay 4 stars,RateBook
1765,add this album to holly s bandas sonoras playlist,AddToPlaylist
9170,play me an ep from 2005,PlayMusic
13842,add this artist to showstopper being mary jane,AddToPlaylist
